         4040070 function calls (4012306 primitive calls) in 8.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.023    0.011 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\graph_objs\_figure.py:5(__init__)
        2    0.000    0.000    0.023    0.011 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:410(__init__)
       23    0.000    0.000    0.022    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\ops\array_ops.py:240(arithmetic_op)
       24    0.000    0.000    0.022    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:1785(_setitem_with_indexer)
       14    0.000    0.000    0.022    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:7142(fillna)
       84    0.000    0.000    0.022    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5917(__setattr__)
        2    0.000    0.000    0.022    0.011 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:2515(_initialize_layout_template)
        2    0.000    0.000    0.022    0.011 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\graph_objs\_layout.py:3706(template)
       14    0.000    0.000    0.021    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\base.py:180(fillna)
       14    0.001    0.000    0.021    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\blocks.py:1643(fillna)
        3    0.000    0.000    0.020    0.007 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\accessor.py:220(__get__)
        2    0.000    0.000    0.020    0.010 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\strings\accessor.py:188(__init__)
        2    0.020    0.010    0.020    0.010 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\strings\accessor.py:207(_validate)
        2    0.000    0.000    0.020    0.010 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\blocks.py:1169(_replace_coerce)
        2    0.000    0.000    0.020    0.010 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\blocks.py:828(replace)
       52    0.000    0.000    0.019    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5325(_set_array_prop)
3844/3795    0.001    0.000    0.019    0.000 {built-in method builtins.getattr}
