         132356 function calls (120601 primitive calls) in 0.384 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.001 C:\Python311\Lib\copy.py:264(<genexpr>)
        7    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\groupby.py:1971(array_func)
        7    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\ops.py:812(_cython_operation)
        5    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:1782(_consolidate_inplace)
       12    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:4470(_iset_item_mgr)
       15    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      591    0.001    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:4341(_get_validator)
        7    0.000    0.000    0.001    0.000 C:\Python311\Lib\contextlib.py:141(__exit__)
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:7525(nlargest)
        2    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:3003(batch_update)
      2/1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\methods\selectn.py:55(nlargest)
    19/15    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:1176(__getitem__)
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\methods\selectn.py:191(compute)
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:2868(plotly_update)
       20    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\ops\array_ops.py:288(comparison_op)
        2    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:2259(_consolidate)
       13    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexes\base.py:6956(insert)
    146/4    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5676(<genexpr>)
      447    0.001    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
    15898    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
   532/40    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5669(<genexpr>)
       14    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\arraylike.py:68(__and__)
        1    0.001    0.001    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\tools\datetimes.py:456(_array_strptime_with_fallback)
      116    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:4276(__init__)
       14    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\series.py:6123(_logical_method)
     5913    0.001    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\strings\object_array.py:402(<lambda>)
     1906    0.001    0.000    0.001    0.000 C:\Python311\Lib\copy.py:243(_keep_alive)
        7    0.001    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:2276(_merge_blocks)
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:2942(_perform_plotly_update)
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:2619(_perform_plotly_relayout)
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\series.py:4620(map)
        9    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\_plotly_utils\basevalidators.py:1629(<listcomp>)
      269    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
       25    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5362(<listcomp>)
        4    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:1365(_getitem_tuple)
  238/162    0.000    0.000    0.001    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\base.py:891(_map_values)
        4    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:1032(_getitem_lowerdim)
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\algorithms.py:1667(map_array)
        8    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:4027(take)
        7    0.001    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\ops\array_ops.py:113(comp_method_OBJECT_ARRAY)
       70    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:4608(_box_col_values)
       17    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexes\base.py:674(_with_infer)
        2    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:6239(reset_index)
        9    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:869(take)
       62    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\_plotly_utils\basevalidators.py:1347(validate_coerce)
        2    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\reshape\concat.py:157(concat)
        9    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:6432(dtypes)
        9    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\tools\numeric.py:44(to_numeric)
        5    0.001    0.000    0.001    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:2190(_form_blocks)
4081/3462    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:504(wrap_results_dict_like)
        8    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:1397(_getitem_axis)
       11    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:6662(copy)
        7    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:4142(_take_with_is_copy)
        9    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:744(_get_setitem_indexer)
       62    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\_plotly_utils\basevalidators.py:1409(vc_scalar)
     1108    0.000    0.000    0.001    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
        1    0.000    0.000    0.001    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\io\sql.py:139(_parse_date_columns)
